dataset,family,algorithm,params,clusters_found,noise_points,silhouette,davies_bouldin,nmi,adjusted_rand,purity
iris,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.05}",3,67,0.6255153238479001,0.4774603383562542,0.6836600351997822,0.5503492674283835,0.7866666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 5, ""xi"": 0.1}",2,136,0.8153747765751015,0.20612219376016533,0.14515221811260154,0.016182945846049908,0.4266666666666667
iris,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.1}",2,128,0.82059005405406,0.25070745121085947,0.20716190748350877,0.03372723101913276,0.48
iris,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.1}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.03}",4,95,0.5956668318308481,0.5344724474738273,0.36846272744317254,0.15087240770461458,0.6533333333333333
iris,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.03}",4,84,0.5821261486852984,0.5969853785679118,0.39561463508074535,0.15095819985292222,0.6533333333333333
iris,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.03}",3,97,0.6972504918491055,0.4393750060726225,0.339168076327445,0.09918345869316247,0.5666666666666667
iris,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.05}",3,114,0.5740534442107815,0.5055973879786436,0.33712646159463583,0.14409747432619993,0.5733333333333334
iris,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.05}",3,19,0.4971902619208703,0.6054950156386868,0.607062056989346,0.39657439669870703,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.05}",2,32,0.5643851566502253,0.45602877503043404,0.6518547478306674,0.44987300809963465,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 10, ""xi"": 0.1}",3,114,0.5740534442107815,0.5055973879786436,0.33712646159463583,0.14409747432619993,0.5733333333333334
iris,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 10, ""xi"": 0.1}",3,19,0.4971902619208703,0.6054950156386868,0.607062056989346,0.39657439669870703,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 10, ""xi"": 0.1}",2,32,0.5643851566502253,0.45602877503043404,0.6518547478306674,0.44987300809963465,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.03}",2,80,0.6677364010613006,0.44076750001587095,0.6362686015020772,0.5420668459469843,0.7333333333333333
iris,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.03}",2,80,0.6677364010613006,0.44076750001587095,0.6362686015020772,0.5420668459469843,0.7333333333333333
iris,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.03}",2,80,0.6677364010613006,0.44076750001587095,0.6362686015020772,0.5420668459469843,0.7333333333333333
iris,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.05}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.05}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.05}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 20, ""xi"": 0.1}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 20, ""xi"": 0.1}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
iris,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 20, ""xi"": 0.1}",2,0,0.5817500491982808,0.5933126905762433,0.7336804366512104,0.5681159420289855,0.6666666666666666
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 5, ""xi"": 0.03}",6,137,0.3014464472091075,1.1926255540480357,0.273010685168126,0.0651767066580077,0.5617977528089888
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.03}",3,147,0.30427626546469005,1.3415694222051846,0.26449466153925905,0.0902983224859426,0.5224719101123596
wine,density,OPTICS,"{""min_cluster_size"": 0.1, ""min_samples"": 5, ""xi"": 0.03}",1,137,,,0.5261193533365758,0.3743557008720652,0.6292134831460674
wine,density,OPTICS,"{""min_cluster_size"": 0.03, ""min_samples"": 5, ""xi"": 0.05}",4,154,0.39525995932178987,0.8893714779491679,0.19494646495219664,0.03581729799518326,0.47752808988764045
wine,density,OPTICS,"{""min_cluster_size"": 0.05, ""min_samples"": 5, ""xi"": 0.05}",1,169,,,0.10889844182136202,0.032819401007895745,0.449438202247191
