precision_weighted,recall_weighted,f1_weighted,accuracy,auc_roc,dataset,model,backend,split,fold
0.8999387034727654,0.855072463768116,0.8750501672240805,0.855072463768116,0.6141257536606375,cervical,Decision Tree,DecisionTreeClassifier,cv,1
0.8834078647471221,0.8029197080291971,0.8389713000026162,0.8029197080291971,0.5342881944444444,cervical,Decision Tree,DecisionTreeClassifier,cv,2
0.87514567870944,0.8175182481751825,0.8446073071505265,0.8175182481751825,0.4939236111111111,cervical,Decision Tree,DecisionTreeClassifier,cv,3
0.8971721025934873,0.8394160583941606,0.8648278610001949,0.8394160583941606,0.59765625,cervical,Decision Tree,DecisionTreeClassifier,cv,4
0.8803631831938757,0.8394160583941606,0.8594021550225931,0.8394160583941606,0.44573643410852715,cervical,Decision Tree,DecisionTreeClassifier,cv,5
0.8915085093112359,0.813953488372093,0.8482572139422885,0.813953488372093,0.5536420101637493,cervical,Decision Tree,DecisionTreeClassifier,test,0
0.8738185255198488,0.9347826086956522,0.9032730825598436,0.9347826086956522,0.6735572782084409,cervical,Random Forest,RandomForestClassifier,cv,1
0.886195556268549,0.8978102189781022,0.8918194420867991,0.8978102189781022,0.5807291666666667,cervical,Random Forest,RandomForestClassifier,cv,2
0.9004248828848459,0.927007299270073,0.9095949183707583,0.927007299270073,0.5980902777777778,cervical,Random Forest,RandomForestClassifier,cv,3
0.9062796010475288,0.9197080291970803,0.9121438435307049,0.9197080291970803,0.6102430555555556,cervical,Random Forest,RandomForestClassifier,cv,4
0.8862172606268784,0.9343065693430657,0.9096267731717395,0.9343065693430657,0.5300387596899224,cervical,Random Forest,RandomForestClassifier,cv,5
0.9019769735333241,0.9302325581395349,0.9111446692842043,0.9302325581395349,0.5640880858272163,cervical,Random Forest,RandomForestClassifier,test,0
0.8738185255198488,0.9347826086956522,0.9032730825598436,0.9347826086956522,0.6877691645133505,cervical,XGBoost,XGBClassifier,cv,1
0.8724774581365393,0.927007299270073,0.8989161689891617,0.927007299270073,0.6510416666666666,cervical,XGBoost,XGBClassifier,cv,2
0.8729287655176088,0.9343065693430657,0.9025754028370748,0.9343065693430657,0.6514756944444444,cervical,XGBoost,XGBClassifier,cv,3
0.9004248828848459,0.927007299270073,0.9095949183707583,0.927007299270073,0.6024305555555556,cervical,XGBoost,XGBClassifier,cv,4
0.8866215568224199,0.9416058394160584,0.9132868668020415,0.9416058394160584,0.47771317829457366,cervical,XGBoost,XGBClassifier,cv,5
0.8758329933360532,0.9302325581395349,0.9022135051835248,0.9302325581395349,0.577639751552795,cervical,XGBoost,XGBClassifier,test,0
0.9011272141706924,0.927536231884058,0.910243741765481,0.927536231884058,0.4470284237726098,cervical,AdaBoost,AdaBoostClassifier,cv,1
0.8691223900865728,0.8759124087591241,0.872504189269789,0.8759124087591241,0.5646701388888888,cervical,AdaBoost,AdaBoostClassifier,cv,2
0.886195556268549,0.8978102189781022,0.8918194420867991,0.8978102189781022,0.4921875,cervical,AdaBoost,AdaBoostClassifier,cv,3
0.886195556268549,0.8978102189781022,0.8918194420867991,0.8978102189781022,0.4444444444444444,cervical,AdaBoost,AdaBoostClassifier,cv,4
0.9033510285335103,0.9197080291970803,0.9109050191355753,0.9197080291970803,0.48110465116279066,cervical,AdaBoost,AdaBoostClassifier,cv,5
0.8747577519379846,0.9127906976744186,0.8933696190004948,0.9127906976744186,0.51270468661773,cervical,AdaBoost,AdaBoostClassifier,test,0
0.8920081509663016,0.8676470588235294,0.8759634731885709,0.8676470588235294,0.9071977346204414,fetal_health,Decision Tree,DecisionTreeClassifier,cv,1
0.8976805873864698,0.8823529411764706,0.8863596284121942,0.8823529411764706,0.9064912011798681,fetal_health,Decision Tree,DecisionTreeClassifier,cv,2
0.9260808492720051,0.9176470588235294,0.9204578695595935,0.9176470588235294,0.9364287034320161,fetal_health,Decision Tree,DecisionTreeClassifier,cv,3
0.9033608632746564,0.8941176470588236,0.8967058823529411,0.8941176470588236,0.903074021023479,fetal_health,Decision Tree,DecisionTreeClassifier,cv,4
0.9112999649331829,0.8852941176470588,0.8927246910439401,0.8852941176470588,0.945051514548651,fetal_health,Decision Tree,DecisionTreeClassifier,cv,5
0.9142565507002126,0.9014084507042254,0.9055404144384759,0.9014084507042254,0.9326500167084164,fetal_health,Decision Tree,DecisionTreeClassifier,test,0
0.9043046461490867,0.9058823529411765,0.9049709351477733,0.9058823529411765,0.9765493945068461,fetal_health,Random Forest,RandomForestClassifier,cv,1
0.9457804979576971,0.9441176470588235,0.9435228611532845,0.9441176470588235,0.9863729801450641,fetal_health,Random Forest,RandomForestClassifier,cv,2
0.9371919812701199,0.9382352941176471,0.9376133937175044,0.9382352941176471,0.9800413108272975,fetal_health,Random Forest,RandomForestClassifier,cv,3
0.9196369051925813,0.9205882352941176,0.9195373222418305,0.9205882352941176,0.9824323068686651,fetal_health,Random Forest,RandomForestClassifier,cv,4
0.9201701581442294,0.9205882352941176,0.9201530463227993,0.9205882352941176,0.9867751585318508,fetal_health,Random Forest,RandomForestClassifier,cv,5
0.9354831887629829,0.9342723004694836,0.9348178213152069,0.9342723004694836,0.9834931298562305,fetal_health,Random Forest,RandomForestClassifier,test,0
0.9091268257642271,0.9117647058823529,0.9102176797492453,0.9117647058823529,0.9760037044045059,fetal_health,XGBoost,XGBClassifier,cv,1
0.9428560503485283,0.9441176470588235,0.9402846162886604,0.9441176470588235,0.9875813089741017,fetal_health,XGBoost,XGBClassifier,cv,2
0.92774760739586,0.9294117647058824,0.9281402154259013,0.9294117647058824,0.9787343456416434,fetal_health,XGBoost,XGBClassifier,cv,3
0.9276658248272476,0.9294117647058824,0.9277324728385301,0.9294117647058824,0.9860890821017302,fetal_health,XGBoost,XGBClassifier,cv,4
0.921796686589074,0.9235294117647059,0.9217455792836381,0.9235294117647059,0.9830944872628018,fetal_health,XGBoost,XGBClassifier,cv,5
0.9441760155640211,0.9460093896713615,0.9444456828937652,0.9460093896713615,0.9799453153431265,fetal_health,XGBoost,XGBClassifier,test,0
0.8811434457051303,0.8647058823529412,0.8695652494540379,0.8647058823529412,0.9370982375397056,fetal_health,AdaBoost,AdaBoostClassifier,cv,1
0.9283946313521297,0.9294117647058824,0.9280897095680377,0.9294117647058824,0.9624699357558725,fetal_health,AdaBoost,AdaBoostClassifier,cv,2
0.9230346967584224,0.9205882352941176,0.9202083835410337,0.9205882352941176,0.956215026073438,fetal_health,AdaBoost,AdaBoostClassifier,cv,3
0.9071808774014657,0.9088235294117647,0.907059517953763,0.9088235294117647,0.9394789958251613,fetal_health,AdaBoost,AdaBoostClassifier,cv,4
0.9341886862829871,0.9294117647058824,0.931137199753621,0.9294117647058824,0.9652147512383238,fetal_health,AdaBoost,AdaBoostClassifier,cv,5
0.9072949152852852,0.8967136150234741,0.9003843610068747,0.8967136150234741,0.9434440120773175,fetal_health,AdaBoost,AdaBoostClassifier,test,0
0.9048023107624285,0.8813353566009104,0.890277479682188,0.8813353566009104,0.8056592481222415,banking,Decision Tree,DecisionTreeClassifier,cv,1
0.9055417168454786,0.8808801213960546,0.8901778913758134,0.8808801213960546,0.8077205651896564,banking,Decision Tree,DecisionTreeClassifier,cv,2
0.9067065757100151,0.8807283763277693,0.8903944446713464,0.8807283763277693,0.8114196205028741,banking,Decision Tree,DecisionTreeClassifier,cv,3
0.9039025275774385,0.8798179059180576,0.8889925463438563,0.8798179059180576,0.8017470394107619,banking,Decision Tree,DecisionTreeClassifier,cv,4
0.903478147064891,0.877845220030349,0.8875398128291032,0.877845220030349,0.8029398610277648,banking,Decision Tree,DecisionTreeClassifier,cv,5
0.9033574633446634,0.8812818645302258,0.8898211711829761,0.8812818645302258,0.7988671340629276,banking,Decision Tree,DecisionTreeClassifier,test,0
0.9144275210369914,0.9059180576631259,0.9094925465086751,0.9059180576631259,0.94336062090479,banking,Random Forest,RandomForestClassifier,cv,1
0.9178959582444276,0.9051593323216995,0.9101505603762959,0.9051593323216995,0.9443313031662862,banking,Random Forest,RandomForestClassifier,cv,2
0.9230239601554645,0.9101669195751139,0.9150669435709229,0.9101669195751139,0.9465685736778257,banking,Random Forest,RandomForestClassifier,cv,3
0.9187485236482761,0.9077389984825494,0.9121251487566298,0.9077389984825494,0.9401659085504962,banking,Random Forest,RandomForestClassifier,cv,4
0.9174482478002566,0.9056145675265553,0.9103093697299481,0.9056145675265553,0.9418367105009046,banking,Random Forest,RandomForestClassifier,cv,5
0.919727339296524,0.9087157076960427,0.9130834743380474,0.9087157076960427,0.9443649317184774,banking,Random Forest,RandomForestClassifier,test,0
0.9008266726013118,0.9119878603945372,0.9019381923737119,0.9119878603945372,0.9443965223210828,banking,XGBoost,XGBClassifier,cv,1
0.8999144505105554,0.9112291350531108,0.9013087304052492,0.9112291350531108,0.9460414047145844,banking,XGBoost,XGBClassifier,cv,2
0.9036810752945053,0.9138088012139606,0.9051965188534015,0.9138088012139606,0.9445797351410947,banking,XGBoost,XGBClassifier,cv,3
0.9002902218755087,0.9118361153262519,0.9003252581313932,0.9118361153262519,0.9417894073665367,banking,XGBoost,XGBClassifier,cv,4
0.9021323639966052,0.9119878603945372,0.9043965597005663,0.9119878603945372,0.9454197790632874,banking,XGBoost,XGBClassifier,cv,5
0.9042788154484968,0.9145423646516144,0.90509011825345,0.9145423646516144,0.9470812302467098,banking,XGBoost,XGBClassifier,test,0
0.9062096402776909,0.9138088012139606,0.9086488885143118,0.9138088012139606,0.9447284947326892,banking,AdaBoost,AdaBoostClassifier,cv,1
0.9025696702046607,0.9092564491654022,0.9051337569428278,0.9092564491654022,0.9424086056098613,banking,AdaBoost,AdaBoostClassifier,cv,2
0.9065558827050264,0.9141122913505311,0.9089705473575711,0.9141122913505311,0.9451080563862228,banking,AdaBoost,AdaBoostClassifier,cv,3
0.8998764748457551,0.908649468892261,0.9027566306362513,0.908649468892261,0.937834128739566,banking,AdaBoost,AdaBoostClassifier,cv,4
0.9032974322311716,0.909711684370258,0.9057816769298594,0.909711684370258,0.9402539545305238,banking,AdaBoost,AdaBoostClassifier,cv,5
0.9037293095296641,0.9116290361738286,0.9063422640396176,0.9116290361738286,0.9459677490683523,banking,AdaBoost,AdaBoostClassifier,test,0
